KENTUCKY,W KENTUCKY
IOWA ST,CONNECTICUT
VA COMMONWEALTH,WICHITA ST
INDIANA,NEW MEXICO ST
COLORADO,UNLV
BAYLOR,S DAKOTA ST
XAVIER,NOTRE DAME
LEHIGH,DUKE
KENTUCKY,IOWA ST
INDIANA,VA COMMONWEALTH
BAYLOR,COLORADO
XAVIER,LEHIGH
KENTUCKY,INDIANA
BAYLOR,XAVIER
KENTUCKY,BAYLOR
MICHIGAN ST,LONG ISLAND
SAINT LOUIS,MEMPHIS
NEW MEXICO,LONG BEACH ST
LOUISVILLE,DAVIDSON
MURRAY ST,COLORADO ST
MARQUETTE,BYU
FLORIDA,VIRGINIA
NORFOLK ST,MISSOURI
MICHIGAN ST,SAINT LOUIS
LOUISVILLE,NEW MEXICO
MARQUETTE,MURRAY ST
FLORIDA,NORFOLK ST
LOUISVILLE,MICHIGAN ST
FLORIDA,MARQUETTE
LOUISVILLE,FLORIDA
SYRACUSE,UNC-ASHEVILLE
KANSAS ST,SOUTHERN MISS
VANDERBILT,HARVARD
WISCONSIN,MONTANA
CINCINNATI,TEXAS
FLORIDA ST,ST BONAVENTURE
GONZAGA,W VIRGINIA
OHIO ST,LOYOLA-MD
SYRACUSE,KANSAS ST
WISCONSIN,VANDERBILT
CINCINNATI,FLORIDA ST
OHIO ST,GONZAGA
SYRACUSE,WISCONSIN
OHIO ST,CINCINNATI
OHIO ST,SYRACUSE
N CAROLINA,VERMONT
CREIGHTON,ALABAMA
S FLORIDA,TEMPLE
OHIO U,MICHIGAN
NC STATE,SAN DIEGO ST
GEORGETOWN,BELMONT
PURDUE,ST MARYS-CA
KANSAS,DETROIT
N CAROLINA,CREIGHTON
OHIO U,S FLORIDA
NC STATE,GEORGETOWN
KANSAS,PURDUE
N CAROLINA,OHIO U
KANSAS,NC STATE
KANSAS,N CAROLINA
KENTUCKY,LOUISVILLE
KANSAS,OHIO ST
KENTUCKY,KANSAS
