assists_per_game,assists_per_game_allowed,blocks_per_game,blocks_per_game_against,field_goal_percentage,field_goal_percentage_allowed,free_throw_percentage,free_throw_percentage_allowed,losses,offensive_rebounds_per_game,offensive_rebounds_per_game_allowed,pf_per_game,pf_per_game_allowed,ppg,ppg_allowed,rebounds_per_game,rebounds_per_game_allowed,steals_per_game,steals_per_game_allowed,three_point_percentage,three_point_percentage_allowed,turnovers_per_game,turnovers_per_game_against,wins
0.07,0.18,0.13,0.33,0.08,0.27,0.25,-0.13,-0.09,0.42,0.32,-0.59,0.15,0.53,0.25,0.20,0.13,0.24,-0.35,0.02,0.32,-0.09,0.41,0.14
0.03,0.24,-0.27,-0.13,0.21,0.39,0.23,0.08,-0.55,0.19,-0.09,-0.52,-0.03,0.43,0.10,-0.04,-0.10,0.19,-0.18,0.23,0.26,-0.32,0.11,0.38
0.29,-0.13,0.02,0.29,0.22,-0.57,0.15,0.12,-0.45,0.34,0.08,-0.55,-0.05,0.50,-0.05,0.33,-0.05,-0.01,-0.35,0.42,0.01,-0.18,0.09,0.38
-0.01,-0.07,-0.03,-0.29,-0.01,0.24,0.13,-0.05,-0.27,0.06,-0.02,0.22,0.32,0.38,0.16,0.00,0.20,0.07,-0.45,0.07,0.44,-0.09,0.67,0.14
-0.61,-0.39,0.24,0.33,-0.43,-0.52,-0.34,0.18,-0.18,0.65,0.02,-0.05,0.34,-0.15,-0.18,0.34,0.07,0.00,-0.30,-0.68,-0.03,-0.15,-0.03,0.24
-0.06,-0.38,-0.25,0.29,0.02,-0.20,0.35,0.47,-0.18,-0.41,-0.30,-0.33,-0.45,-0.25,-0.46,-0.36,-0.19,-0.03,-0.88,-0.06,-0.17,-0.93,-0.24,0.29
-0.38,-0.46,0.11,0.71,-0.26,-0.65,0.01,-0.09,-0.64,0.36,-0.04,-0.03,-0.12,-0.01,-0.39,0.29,0.02,0.18,-0.27,-0.19,-0.33,-0.16,0.06,0.48
-0.12,-0.30,0.06,0.58,-0.24,-0.84,0.18,-0.56,-0.45,0.20,0.13,0.16,-0.25,-0.07,-0.53,0.20,0.20,0.28,-0.45,0.03,-0.47,-0.50,-0.01,0.52
-0.31,0.04,0.52,-0.12,0.06,-0.40,-0.18,-0.31,-0.27,0.20,0.28,0.23,0.22,0.24,-0.21,0.07,0.11,0.12,-0.07,0.31,-0.32,-0.18,0.32,0.38
-0.28,0.06,0.32,-0.04,0.03,-0.37,-0.11,0.03,-0.55,0.42,0.04,-0.25,0.52,0.37,-0.29,0.17,0.09,0.21,-0.75,-0.12,-0.71,-0.74,0.37,0.43
