@relation tournament_winnersStripped

@attribute assists_per_game numeric
@attribute blocks_per_game numeric
@attribute field_goal_percentage numeric
@attribute field_goal_percentage_allowed numeric
@attribute losses numeric
@attribute offensive_rebounds_per_game numeric
@attribute pf_per_game numeric
@attribute ppg numeric
@attribute rebounds_per_game numeric
@attribute rebounds_per_game_allowed numeric
@attribute steals_per_game_allowed numeric
@attribute three_point_percentage numeric
@attribute three_point_percentage_allowed numeric
@attribute turnovers_per_game numeric
@attribute wins numeric
@attribute won_tournament {0,1}

@data
19.2,3.2,48.8,44,4,13.1,16.5,90.8,39.2,36.5,6.6,37.7,35.2,14.7,27,0
15.9,4.6,44.6,42,8,14.2,19.6,82.3,39.5,40.3,6.5,35.3,35.6,16.6,23,0
12.1,2.9,44.5,40.6,10,9.6,18.6,67.4,35.2,30.9,6.2,31.8,31.1,14.9,22,0
12.5,4.4,45.7,39.3,5,14.1,18.8,76.1,40.1,31.5,6.2,34.7,30.9,15.8,26,0
15.1,2.8,47.2,43.1,13,11.5,21.4,72.2,34,32.4,5.8,33.8,36.2,12.7,18,0
14,3.9,45.9,38.8,5,10.8,16.2,69.6,35.8,34.6,5.3,35.3,27.6,13.2,24,0
14.3,4.2,45.8,39.3,4,12,18,76.6,39.1,35.2,6.5,35.7,31.2,14.2,29,0
15.6,2.1,42.8,41.8,9,12.6,19.4,70.7,37.7,34.2,7.7,34.3,35.7,16.7,20,0
14,3,44.5,43.9,9,9.3,18.9,73.2,35.8,36.7,8,36.5,31.8,17,20,0
14.2,5.1,47.5,41.1,3,13.3,18.6,85.6,38.2,35.3,5.5,36.9,30.5,12.7,29,0
15.8,3.7,47,45.3,9,12.2,20,79.8,37.4,36.3,6.5,36.8,35.8,14,20,0
14.8,5.8,45.5,40.9,6,15.4,20.1,83.5,45.7,37.2,10,36.4,32.7,20.5,23,0
14.5,5.1,45.7,40.7,13,11.8,19.8,71.5,39,34.2,9.3,29.5,31.5,17.1,17,0
15,2.7,44.6,40.2,8,12.8,21.7,73.2,40,35.5,6.8,32.3,33.6,15.5,24,0
14.1,2.7,43.6,43.2,5,12.6,18.8,74.6,36.9,34.9,5.7,41.7,36.7,12.9,22,0
14.2,2.7,44.2,41.7,9,9.3,18.7,69.7,33.4,34.4,5.2,36.3,31.5,13.5,22,0
18.6,2.4,47.8,41.8,5,9.6,20.3,76.2,35.5,35.1,8,37.5,32.4,15.3,24,0
17.7,3.5,49.1,44.6,11,9,18.2,76.8,33.8,35,7.6,38,34.1,15.3,19,0
15.1,6.1,46.2,40.7,5,11.7,19.6,80.4,37.5,37,7,35,33.5,15.2,27,0
19.1,5.6,49.3,40.2,3,13.9,16.7,84.6,43.2,34.2,8.1,38.3,31.4,16,34,0
17.7,6,48.2,38.4,4,13.5,18.5,80.1,42.1,33.8,6.9,36.7,34.6,14.9,29,1
18.9,4.9,46.1,40.8,10,11.5,19.8,78.8,39.9,37.6,7.3,34.9,32.9,16.9,19,0
13.9,5.4,44.7,40.4,10,12.5,21,69.7,38.5,32.5,6.9,33.9,34.4,14.8,21,0
14,4.2,44.3,38,9,11.8,19.9,69.9,40.2,38.4,8.6,29.2,29,17.4,18,0
15.8,3.9,48.8,40.1,8,11.1,17.4,77.4,38.6,31.9,7.5,41.9,35.6,15.8,24,0
14.9,3.9,44.9,40.9,7,14.4,19.2,73.4,39.8,31,7,35.7,30.1,15.4,20,0
16,2.8,50.1,41.4,3,13.4,19.2,87.3,43.2,33.4,5.9,40.4,29.4,14.2,29,0
17.9,2.9,51.1,43.6,7,8.7,19.1,80.2,33.8,30.7,7.4,43,31.2,16.8,21,0
18.4,4.9,51.8,38.4,3,11.7,14,81.9,39.8,32.3,6.1,36.2,32.1,13,30,0
13.8,3.4,43.3,41,10,13.1,21.1,71.1,40.3,34.9,8.1,29.7,31.1,16.2,19,0
16,4.8,44.7,40,11,13.7,18.2,71.6,39.5,38.2,8.3,34.4,31.8,17.2,20,0
16.5,3.6,47.1,42.4,7,9.2,14,75.5,34,34,5.4,40.2,39.8,12.3,23,0
16.6,3.1,46,48.7,9,10.3,20,76.8,33.1,37,8,32.6,35.1,15.9,19,0
14.5,4.2,44.6,42.9,10,12.7,19.7,74.6,38.2,33,7.5,35.1,32.9,15.5,22,0
17,1.8,46.7,44.4,6,11.6,17.1,78.9,36.9,34.1,5.8,33.1,33.3,13.9,21,0
13.7,4.2,45.3,40.6,6,14.1,22.5,80.5,41.4,34.9,6.3,37.5,30,15.4,22,0
10.2,2.8,38.9,42.5,16,13,21.9,70.9,41,47.1,7.6,26.5,31.4,17.5,13,0
16.5,2.7,49.8,41.5,1,6.3,15.8,66.5,26.6,29.5,4.7,38.9,30.7,10.1,26,0
18.9,3.8,48.4,44.3,7,12.7,16.3,83.7,37.1,34.8,7.2,37.4,36.3,15.5,26,0
16.7,3.1,47.1,44.1,9,9.8,20.2,75.3,35,34.3,8.5,38.4,36.7,17.7,20,0
15,4.8,45.1,41.2,8,10.7,17.6,77.7,36.6,40.7,6.2,37.4,34.7,12.5,22,0
14,3.1,45.6,44.7,7,9.8,14.5,70,31.9,33.8,4.7,39.8,33.3,10.8,22,0
15.1,3,48.5,40.6,6,10.4,16.3,65,33.9,26.4,7.9,39.8,31,15.8,21,0
12.5,3.6,44.2,40.9,7,10.5,15.6,71.3,37.6,35.9,7.5,33.1,34.2,15.1,23,0
10.4,4.2,45.9,43.3,7,10.6,20.4,73.9,36.2,34.3,6.4,41.1,34,17.4,22,0
15.3,2.4,46.7,45.3,10,12.5,20.1,73.2,35.9,30.3,6.6,34.6,36.2,16.3,19,0
14.5,4.1,43.9,40.7,9,15.4,19.3,72.9,42.4,35.1,7.8,32.3,32.4,16.7,22,0
13.4,2.2,43.1,42.9,10,9.7,18.6,67.3,32.1,36.5,8.2,35.4,30.5,15,21,0
16,2.9,45.5,41.7,4,13,18.2,80.2,41.3,31.9,7.2,40.8,33.7,14,26,0
15.8,5.5,43.5,41.8,8,12.4,17.1,70.9,38,36.7,7.5,32.9,32.2,15.9,24,0
19.7,4,49.5,43.3,5,15.7,18.3,97.2,44.5,39.1,8.2,36.7,33.3,15.4,27,0
11.3,4.3,40.2,38.8,8,11.5,16,65.7,34.6,37.5,5.6,32.7,34.6,11.7,21,0
13.6,5.5,42.6,40.6,8,11.7,20.2,75.9,38.8,41.2,7.8,37.7,34.8,15.7,20,0
15.9,3.3,49,46.2,8,12.2,19.7,83.1,36.2,35.9,6.8,34.5,37.5,16.7,22,0
