assists_per_game,assists_per_game_allowed,blocks_per_game,blocks_per_game_against,field_goal_percentage,field_goal_percentage_allowed,free_throw_percentage,free_throw_percentage_allowed,losses,offensive_rebounds_per_game,offensive_rebounds_per_game_allowed,pf_per_game,pf_per_game_allowed,ppg,ppg_allowed,rebounds_per_game,rebounds_per_game_allowed,steals_per_game,steals_per_game_allowed,three_point_percentage,three_point_percentage_allowed,turnovers_per_game,turnovers_per_game_against,wins,won_tournament
19.2,15.1,3.2,3.3,48.8,44,71.6,66.7,4,13.1,11.9,16.5,19.9,90.8,74.6,39.2,36.5,10,6.6,37.7,35.2,14.7,19.9,27,0
15.9,13.9,4.6,3.3,44.6,42,64.8,65.4,8,14.2,13.1,19.6,20.2,82.3,72.4,39.5,40.3,10.5,6.5,35.3,35.6,16.6,22.5,23,0
12.1,12.5,2.9,3.4,44.5,40.6,66.3,70.3,10,9.6,9,18.6,22.8,67.4,62.1,35.2,30.9,5.4,6.2,31.8,31.1,14.9,14.4,22,0
12.5,10.2,4.4,2.8,45.7,39.3,67.9,68.2,5,14.1,10,18.8,22.4,76.1,63.2,40.1,31.5,7.7,6.2,34.7,30.9,15.8,17.1,26,0
15.1,11.2,2.8,2.9,47.2,43.1,61.4,67.9,13,11.5,8.8,21.4,19.9,72.2,65.3,34,32.4,8,5.8,33.8,36.2,12.7,16.5,18,0
14,8.9,3.9,2.7,45.9,38.8,69.4,63.4,5,10.8,11.5,16.2,17.8,69.6,56.2,35.8,34.6,10.7,5.3,35.3,27.6,13.2,18.1,24,0
14.3,12,4.2,4,45.8,39.3,73.3,66.6,4,12,11.6,18,18.8,76.6,63.9,39.1,35.2,8.5,6.5,35.7,31.2,14.2,16,29,0
15.6,10.6,2.1,2.9,42.8,41.8,67.2,68.3,9,12.6,9.9,19.4,19.8,70.7,65,37.7,34.2,7.4,7.7,34.3,35.7,16.7,17.7,20,0
14,13.2,3,3,44.5,43.9,71.3,67.3,9,9.3,10.2,18.9,20.7,73.2,70.9,35.8,36.7,8.1,8,36.5,31.8,17,16.9,20,0
14.2,12.9,5.1,3,47.5,41.1,67.4,66,3,13.3,11.1,18.6,21.5,85.6,64.1,38.2,35.3,9.4,5.5,36.9,30.5,12.7,19.9,29,0
15.8,13.4,3.7,2.2,47,45.3,66.3,71.3,9,12.2,11,20,16.7,79.8,75.5,37.4,36.3,7.8,6.5,36.8,35.8,14,15.8,20,0
14.8,15,5.8,3.3,45.5,40.9,67.6,61.8,6,15.4,13.2,20.1,21.7,83.5,75,45.7,37.2,8.7,10,36.4,32.7,20.5,17.9,23,0
14.5,11.7,5.1,3.6,45.7,40.7,66.5,69.4,13,11.8,11.2,19.8,19.3,71.5,69.3,39,34.2,7.4,9.3,29.5,31.5,17.1,14.5,17,0
15,12.2,2.7,4.1,44.6,40.2,64.9,67.7,8,12.8,10.8,21.7,21.7,73.2,68,40,35.5,7.1,6.8,32.3,33.6,15.5,15.3,24,0
14.1,11.6,2.7,2.5,43.6,43.2,73.1,63.8,5,12.6,10.9,18.8,21.3,74.6,66.1,36.9,34.9,6.1,5.7,41.7,36.7,12.9,15.8,22,0
14.2,12.6,2.7,2.5,44.2,41.7,68.4,68.7,9,9.3,9.8,18.7,18.5,69.7,63.5,33.4,34.4,7.3,5.2,36.3,31.5,13.5,16.2,22,0
18.6,13.7,2.4,2.5,47.8,41.8,67.5,68,5,9.6,10.2,20.3,18.9,76.2,68.7,35.5,35.1,8.4,8,37.5,32.4,15.3,16.7,24,0
17.7,15.7,3.5,2.3,49.1,44.6,73.1,67.5,11,9,11.8,18.2,19.6,76.8,73.3,33.8,35,7.3,7.6,38,34.1,15.3,15.5,19,0
15.1,12.4,6.1,2.3,46.2,40.7,68.9,69.8,5,11.7,12.1,19.6,21.3,80.4,69.5,37.5,37,9.5,7,35,33.5,15.2,19.1,27,0
19.1,13.1,5.6,3.1,49.3,40.2,68.1,65.4,3,13.9,11.3,16.7,19.1,84.6,67.4,43.2,34.2,8,8.1,38.3,31.4,16,17.1,34,0
17.7,12.4,6,2.8,48.2,38.4,67.5,68,4,13.5,11.2,18.5,18.5,80.1,67,42.1,33.8,8.7,6.9,36.7,34.6,14.9,15.9,29,1
18.9,13.2,4.9,3.6,46.1,40.8,67.8,65.9,10,11.5,12.4,19.8,20.1,78.8,72.1,39.9,37.6,8.7,7.3,34.9,32.9,16.9,19,19,0
13.9,10.2,5.4,2.5,44.7,40.4,70,67.9,10,12.5,10.7,21,19.1,69.7,65,38.5,32.5,6.1,6.9,33.9,34.4,14.8,13.5,21,0
14,12.7,4.2,2.6,44.3,38,65.6,64.6,9,11.8,12.5,19.9,18.3,69.9,65.4,40.2,38.4,9,8.6,29.2,29,17.4,17.7,18,0
15.8,15,3.9,2.1,48.8,40.1,69.4,65.5,8,11.1,10.6,17.4,18.6,77.4,67.2,38.6,31.9,7.1,7.5,41.9,35.6,15.8,13.9,24,0
14.9,11.4,3.9,3.1,44.9,40.9,67,69.1,7,14.4,10,19.2,18.7,73.4,64,39.8,31,7.7,7,35.7,30.1,15.4,15.5,20,0
16,13.5,2.8,2.4,50.1,41.4,67.8,65.9,3,13.4,10.5,19.2,21.4,87.3,71.2,43.2,33.4,6.2,5.9,40.4,29.4,14.2,14.7,29,0
17.9,13.3,2.9,2,51.1,43.6,73.4,66.4,7,8.7,9.9,19.1,20.2,80.2,67.4,33.8,30.7,7.7,7.4,43,31.2,16.8,17.3,21,0
18.4,12.4,4.9,2.1,51.8,38.4,71.1,67.5,3,11.7,11.9,14,19.9,81.9,65.6,39.8,32.3,6.8,6.1,36.2,32.1,13,13.2,30,0
13.8,10.4,3.4,3.6,43.3,41,64.4,66.5,10,13.1,9.6,21.1,20.4,71.1,64.7,40.3,34.9,9.3,8.1,29.7,31.1,16.2,18.5,19,0
16,14.5,4.8,4,44.7,40,62.6,65.9,11,13.7,13.2,18.2,18.1,71.6,68.5,39.5,38.2,10,8.3,34.4,31.8,17.2,17.2,20,0
16.5,12.8,3.6,2.2,47.1,42.4,75.6,67.1,7,9.2,10.7,14,15.9,75.5,66,34,34,7,5.4,40.2,39.8,12.3,13.3,23,0
16.6,16.1,3.1,2.6,46,48.7,69.2,65.5,9,10.3,11.5,20,20.2,76.8,75.7,33.1,37,10.1,8,32.6,35.1,15.9,19.2,19,0
14.5,11.5,4.2,3.9,44.6,42.9,70.1,68.7,10,12.7,10.4,19.7,21.8,74.6,68.3,38.2,33,7.4,7.5,35.1,32.9,15.5,14.8,22,0
17,12.6,1.8,3.3,46.7,44.4,70.4,69.2,6,11.6,9.6,17.1,20.1,78.9,69.2,36.9,34.1,8.6,5.8,33.1,33.3,13.9,17.4,21,0
13.7,11.7,4.2,2.1,45.3,40.6,65.2,66.6,6,14.1,9.7,22.5,23.3,80.5,68.1,41.4,34.9,8,6.3,37.5,30,15.4,16.8,22,0
10.2,14.6,2.8,4.5,38.9,42.5,60.4,62.5,16,13,14.9,21.9,21.8,70.9,79.2,41,47.1,9.2,7.6,26.5,31.4,17.5,18.9,13,0
16.5,7.9,2.7,1.5,49.8,41.5,67.4,68,1,6.3,8.5,15.8,17.5,66.5,51.6,26.6,29.5,8.4,4.7,38.9,30.7,10.1,15.1,26,0
18.9,15.8,3.8,2.7,48.4,44.3,76,67,7,12.7,12.5,16.3,20.6,83.7,72.3,37.1,34.8,8.7,7.2,37.4,36.3,15.5,17.4,26,0
16.7,12.4,3.1,3.1,47.1,44.1,69.2,65.7,9,9.8,10.9,20.2,18.1,75.3,71,35,34.3,8,8.5,38.4,36.7,17.7,17,20,0
15,12.2,4.8,3,45.1,41.2,70.9,67.6,8,10.7,14.4,17.6,20.1,77.7,71.9,36.6,40.7,7.3,6.2,37.4,34.7,12.5,14.7,22,0
